Title,Description,Google Bard Extensions Prompt,Category,Tags
Enhance Your Personal LinkedIn Brand,A well-optimized LinkedIn profile can be a beacon for opportunities and connections in the professional world.,"Review my 'Resume' and 'Resume Cover Letter' in @docs. Identify key achievements and strengths. Based on these, suggest a revised LinkedIn profile summary and headline. Additionally, recommend @youtube tutorials on personal branding specifically tailored for LinkedIn to boost my online presence.",Business Networking & B2B Marketing,"@docs, @youtube"
Analyze Your To-Do List,This prompt aims to streamline your daily activities and prioritize tasks efficiently.,Analyze my 'To-Do List' in @docs. Rank the tasks based on urgency and importance. Suggest an optimized order for task completion to ensure maximum productivity.,Productivity & Time-Saving,@docs
Website or Blog Post Media Enhancement,Integrating multimedia content can greatly enhance user engagement on a website.,Review the website copy or blog posts in @docs. Highlight sections that may benefit from richer content. Suggest @youtube videos or other visual content that can be embedded to provide a more engaging user experience.,Increased Output & Efficiency,"@docs, @youtube"
eBook Promotion,Strategic promotion can maximize the reach and impact of an eBook.,"Inspect the topics covered in my eBook PDF in @docs. Based on the subject matter, suggest relevant online communities or platforms where they can be promoted. Also, recommend @youtube influencers or channels that align with the eBook topics for potential collaboration or shout-outs.",Lead Generation & Sales Improvement,"@docs, @youtube"
Resume Enhancement,Ensuring your resume is current and aligned with industry expectations can be a crucial step in job hunting.,Compare the latest job descriptions and qualifications in my industry (from web sources or job boards) with my 'Resume' in @docs. Highlight any gaps or areas of improvement and suggest modifications to enhance its appeal.,Increased Output & Efficiency,@docs
Learning & Upskilling Prioritization,"By focusing on the most relevant educational content, this prompt enhances efficient learning and upskilling.","Search @youtube for tutorials related to skills I want to develop, as mentioned in my @docs labeled 'Skills Development Plan'. Prioritize them based on relevance to my goals.",Productivity & Time-Saving,"@docs, @youtube"
Blog Post Feedback,Effective blogging often requires a mix of solid structure and timely content.,"Examine my 'Blog Post Draft' in @docs. Provide feedback on structure, coherence, and relevance. Additionally, suggest related topics or current events that could be incorporated to enhance its appeal.",Increased Output & Efficiency,@docs
Social Media Planning & Optimization,Consistency and relevance in social media posting can significantly enhance brand engagement.,Review my 'Social Media Calendar' in @docs. Identify any gaps or days without posts. Suggest content ideas or topics based on current industry trends to keep the audience engaged.,Increased Output & Efficiency,@docs
Contract Review for Renewal and Upselling,Maximizing value from existing contracts is a key part of B2B sales.,Examine @docs for any B2B contracts that are nearing their expiration date within the next three months. Summarize the terms and make recommendations for renewal or upselling strategies.,Business Networking & B2B Marketing,@docs
Upsell Opportunities on YouTube,Strategic upselling can significantly boost revenue without acquiring new customers.,"Using @youtube, research current market trends related to those products. Propose a list of complementary products or services we can introduce for upselling during peak seasons.",Lead Generation & Sales Improvement,@youtube
Client Proposal Review & Analysis,Cross-reference key points in your Client Proposal with past email interactions to tailor the proposal more closely to the client's needs. Enhance the proposal's effectiveness and expedite the sales process.,"Summarize the key points of the Client Proposal in @docs. Based on my @gmail interactions with the client, provide recommendations on any additional information or changes that could make the proposal more compelling.",Increased Output & Efficiency,"@docs, @gmail"
Social Media Inspiration from SEO Insights,Merging SEO strategies with social media can enhance overall online presence.,"Cross-analyze my 'Social Media Calendar' and 'SEO Report PDF' in @docs. Suggest ways to use SEO insights to optimize social media content, including potential keywords or topics that could increase engagement.",Lead Generation & Sales Improvement,@docs
Blog Post Promotion Ideas,Strategic promotion can significantly increase blog post reach and engagement.,"Upon reviewing my 'Blog Post Draft' and 'Social Media Calendar' in @docs, suggest the best dates and platforms for promoting the blog post. Additionally, draft a few engaging social media captions to accompany the blog link.",Increased Output & Efficiency,@docs
Budget Travel Planning,"This prompt automates the task of finding budget-friendly flights, potentially saving both time and money.",Scan my upcoming travel plans in @gmail and use @flights to find the most economical round-trip flights for these dates.,Productivity & Time-Saving,"@flights, @gmail"
Efficient Hotel Booking for Business Travel,"Efficient hotel booking saves money and minimizes transit times to and from meetings, thus allowing for better focus and preparation.",Check my @gmail for upcoming business trips and use @hotels to find hotels that are both cost-effective and near the meeting locations as indicated in the emails. Summarize the options.,Increased Output & Efficiency,"@gmail, @hotels"
Tax Deduction Identification,Keeping track of expenses that can be used for tax deductions can result in significant cost savings during tax season.,"Check my @gmail for invoices, receipts, and expense reports related to work in the past year. Summarize them and flag items that could be potential tax deductions.",Cost Savings,@gmail
Resume Inspired Networking,Tapping into existing networks can provide unexpected opportunities.,"Analyze my 'Resume' in @docs and identify any past affiliations, organizations, or educational institutions. Recommend potential networking events or alumni gatherings near me related to these affiliations.",Business Networking & B2B Marketing,@docs
Daily Task Automation,Automation can be a game-changer in terms of time-saving and efficiency. Discover opportunities.,Review my 'To-Do List' in @docs. Identify repetitive tasks and suggest automation tools or software solutions that can streamline these processes.,Productivity & Time-Saving,@docs
Webinar Lead Generation,"By identifying relevant industry events, this prompt could unearth untapped opportunities for lead generation.","Look for industry-related webinars or online events mentioned in my @gmail or found on @youtube. Summarize the topics and speakers, and evaluate if sponsoring or attending these events could generate leads.",Lead Generation & Sales Improvement,"@gmail, @youtube"
Product/Service Feedback Loop,Customer feedback is invaluable for improving your offering and generating more sales. This prompt compiles that data for actionable insights.,Check my @gmail for customer feedback or product reviews received in the last month. Summarize the positive and negative feedback and make recommendations for product or service improvement.,Lead Generation & Sales Improvement,@gmail
Mapping Sales Prospects,"Geographically targeted marketing can be highly effective, and this prompt helps lay the groundwork for such a strategy.",Scan my @gmail for conversations with potential clients in different geographical locations. Use @maps to determine the most densely populated areas of interest. Recommend targeting strategies based on geography.,Lead Generation & Sales Improvement,"@gmail, @maps"
Expanded Learning from eBook,Pairing written content with video can provide a richer learning experience.,Examine the topics covered in 'Business eBook' in @docs. Suggest a list of @youtube channels or playlists that delve deeper into these subjects for further learning.,Learning & Development,"@docs, @youtube"
Partnership and Collaboration Opportunities,Partnerships can dramatically expand your reach and generate leads; this prompt helps you identify and prioritize such opportunities.,Check my @gmail for any mentions of potential partnerships or collaborations in the last six months. Summarize the opportunities and assess the potential impact on sales and lead generation.,Lead Generation & Sales Improvement,@gmail
Workflow Efficiency Audit,Streamlined workflows increase efficiency and output by eliminating unnecessary steps.,Summarize the documents in my @drive that detail my current workflows or standard operating procedures. Identify any redundant steps and provide recommendations for streamlining these workflows.,Increased Output & Efficiency,@drive
Venue Sourcing with Visuals,"This prompt not only identifies the best venues but also enhances decision-making by providing YouTube videos, making the venue selection process more efficient.","Find nearby venues on @maps that would be suitable for hosting my business conference. They should have facilities for at least 200 people, parking, and high-speed internet. Show me @youtube videos for the top 3 results.",Business Networking & B2B Marketing,"@maps, @youtube"
Website Copy SEO Enhancements,Staying updated on SEO techniques can ensure consistent website visibility.,Analyze the 'Website Copy' in @docs for keyword density and relevance. Suggest improvements based on SEO best practices. Direct me to @youtube tutorials on modern SEO techniques to enhance my understanding.,Lead Generation & Sales Improvement,"@docs, @youtube"
Review Educational Expenses,Keeping track of your investments in learning can help you better allocate resources in the future.,Summarize all mentions of educational or course-related expenses in my @gmail for the past year. Provide an analysis to determine if I am allocating resources effectively for my learning and development.,Learning & Development,@gmail
B2B Prospect Prioritization,Prioritizing B2B prospects based on engagement and relevance can help focus your sales efforts more effectively.,Analyze my @gmail for conversations labeled 'B2B Prospects' in the last three months. Rank the conversations by level of engagement and industry relevance. Provide recommendations for prioritized follow-ups.,Business Networking & B2B Marketing,@gmail
Energy-Efficient Venue Search,Choosing energy-efficient venues can be both eco-friendly and cost-effective in the long term.,Find venues on @maps that advertise energy-efficient facilities or green initiatives. Compare these options to traditional venues for hosting my next corporate event.,Cost Savings,@maps
Company Culture Learning,Aligning training and development with company culture can have a synergistic effect on organizational growth.,"Review my @docs for any company values, mission statements, or culture guidelines. Suggest training programs or resources that align with fostering the desired company culture.",Learning & Development,@docs
Fuel-Efficient Route Planning,"Fuel costs can add up quickly, especially for businesses that rely on regular travel. Planning fuel-efficient routes can result in noticeable savings.",Analyze my frequent travel locations from @maps. Calculate the most fuel-efficient routes for common destinations and provide a plan.,Cost Savings,@maps
Sales Email Analysis,"This prompt can help identify valuable trends and outliers in sales activity that might otherwise go unnoticed, thereby informing strategy to improve sales.","Analyze my emails labeled 'New Sale' in @gmail and provide insights on the latest sales activity. Identify any trends, outliers, or recommendations to improve sales.",Lead Generation & Sales Improvement,@gmail
Learning Resources Summary,Having a consolidated list of learning resources can help you plan your development efforts more effectively.,"Scan my @gmail for any links or mentions of e-books, courses, or webinars sent to me in the past six months. Summarize these resources and categorize them by their relevance to my professional development goals.",Learning & Development,@gmail
Identifying Industry Events for Networking,This prompt aims to help you proactively identify networking opportunities where you could forge valuable B2B relationships.,"Scan my @gmail for any mentions or invitations to industry conferences, webinars, or networking events in the next six months. Summarize the details and evaluate the potential benefits for B2B networking.",Business Networking & B2B Marketing,@gmail
Local SEO Opportunities,"Local SEO can be a powerful tool for generating leads, and this prompt helps you get started by identifying local competitors and keywords.",Scan my @docs for keywords related to my business and industry. Use @maps to identify local businesses in my industry and their ratings. Suggest local SEO strategies to improve lead generation.,Lead Generation & Sales Improvement,"@docs, @maps"
Assessing Sales Channels,This prompt aims to help you understand which sales channels are the most fruitful so that efforts can be concentrated there.,Analyze my @docs and @gmail to identify the most frequently mentioned sales channels or platforms. Provide a comparative analysis of their performance and recommend where to focus sales efforts.,Lead Generation & Sales Improvement,"@docs, @gmail"
Efficient Meeting Scheduling,"This prompt can streamline meeting scheduling, minimizing back-and-forth emails and saving time.",Scan my @gmail for pending meeting invitations and responses. Summarize the status of each and suggest time slots for unconfirmed meetings based on my free slots mentioned in @docs.,Productivity & Time-Saving,"@docs, @gmail"
