Nome,URL
Dream Catcher: Character Consistency Curator,https://chatgpt.com/g/g-69394ca238b48191ad8c92f462c68ffe-dream-catcher-character-consistency-curator
Adaptador de Currículos por Vaga,https://chatgpt.com/g/g-696e464efc4881919da95c4493507663-adaptador-de-curriculos-por-vaga
Alexandria,https://chatgpt.com/g/g-6900065576888191ab68bdf04b765d59-alexandria
Prompt Engineer,https://chatgpt.com/g/g-5XtVuRE8Y-prompt-engineer
Protocolo Tio Patinhas,https://chatgpt.com/g/g-6900076201c481918dc2e70decbd3216-protocolo-tio-patinhas
Master Control,https://chatgpt.com/g/g-690005f40f6c8191b5e29d85d06b30b7-master-control
Permanence Code,https://chatgpt.com/g/g-690002586c88819188217e4471a6772f-permanence-code
Corner Office,https://chatgpt.com/g/g-690005ff68148191bd4a62080fc5aa50-corner-office
Celeiro de Ideias,https://chatgpt.com/g/g-6900061cfe008191a871679dab0d7183-celeiro-de-ideias
OpenAI Prompt Optimizer,https://platform.openai.com/chat/edit?models=gpt-5&optimize=true
,
,
Prompt Master,https://gemini.google.com/gem/40468bb39e80
Adaptador de Currículos por Vaga,"https://gemini.google.com/gem/a3f362054455?google_abuse=GOOGLE_ABUSE_EXEMPTION%3DID%3Dd01bfc3cc9b8db6f:TM%3D1771341686:C%3Dr:IP%3D179.68.124.239-:S%3DSHHQr3v9KnVS3dC7TGCo2VI;%20path%3D%2F;%20domain%3Dgoogle.com;%20expires%3DTue,%2017-Feb-2026%2018:21:26%20GMT"
Dream Catcher: Character Consistency Curator,https://gemini.google.com/gem/46b38f3a3b3e
Parceiro de Programacao,https://gemini.google.com/gem/coding-partner
Alexandria,"https://gemini.google.com/gem/554b79b44953?google_abuse=GOOGLE_ABUSE_EXEMPTION%3DID%3D28018274841d7345:TM%3D1771341687:C%3Dr:IP%3D179.68.124.239-:S%3DY6lePTnIxoPuoA8VPCE0XUo;%20path%3D%2F;%20domain%3Dgoogle.com;%20expires%3DTue,%2017-Feb-2026%2018:21:27%20GMT"
,
Sam Tutora de Idiomas Multimodal,https://gemini.google.com/gem/ab19ca835096
