Nome,Categoria
Análise Brutalmente Honesta,Autoconhecimento
Photoshoot (outdoor) … Beach,Geração de Imagem
Photoshoot (different moods) …studio,Geração de Imagem
Builnding Landing Pages with Clude Code,Multimídia
Teste de Conector Manus (Atualizado),"Análise de Dados, Comunicação"
Underwatter Photoshoot 1,Geração de Imagem
Influencer Selfie Mirror Gym 1,Geração de Imagem
Fashion Business Woman 1,Geração de Imagem
Dramatic Portrait 1,Geração de Imagem
SWOT de Fim de Ano,Autoconhecimento
Análise de Personalidade,Autoconhecimento
Plano ano novo 52 semanas,Autoconhecimento
Dashboard Power BI,Análise de Dados
Análise Descritiva,Análise de Dados
Analista de grandes volume de dados (e-commerce),Análise de Dados
Infográficos Matadores,Análise de Dados
Verificação da Composição dos Dados,Análise de Dados
Qualidade dos dados,Análise de Dados
The Lecture Note Processor,Aprendizado
The Textbook Chapter Breakdown,Aprendizado
The Exam Question Predictor,Aprendizado
The Concept Explainer for Difficult Topics,Aprendizado
The Flashcard Generator,Aprendizado
The Essay & Assignment Planner,Aprendizado
The Pre-Exam Cram Session (Master Prompt),Aprendizado
Transferência de Memórias 1,Aprendizado
Claude Oficial Prompt Migration Tool,
Transferência de Memórias 1 (1),Aprendizado
,
Modelo de Card,
Criando Relatórios no estilo McKinsey.,
