Title,Category,Description,Google Bard Extensions Prompt,Tags
Social Media Inspiration from SEO Insights,Lead Generation & Sales Improvement,Merging SEO strategies with social media can enhance overall online presence.,"Cross-analyze my 'Social Media Calendar' and 'SEO Report PDF' in @docs. Suggest ways to use SEO insights to optimize social media content, including potential keywords or topics that could increase engagement.",@docs
Fuel-Efficient Route Planning,Cost Savings,"Fuel costs can add up quickly, especially for businesses that rely on regular travel. Planning fuel-efficient routes can result in noticeable savings.",Analyze my frequent travel locations from @maps. Calculate the most fuel-efficient routes for common destinations and provide a plan.,@maps
Flight and Hotel Bundle Savings,Cost Savings,"Bundling flights and hotels can offer significant savings, and this prompt would automate the process of finding the best bundle deals.",Cross-reference my upcoming business trips found in @gmail with @flights and @hotels to find the most cost-effective bundle options for flights and hotels. Provide a comparison for decision-making.,"@flights, @gmail, @hotels"
Resume Inspired Networking,Business Networking & B2B Marketing,Tapping into existing networks can provide unexpected opportunities.,"Analyze my 'Resume' in @docs and identify any past affiliations, organizations, or educational institutions. Recommend potential networking events or alumni gatherings near me related to these affiliations.",@docs
Enhance Your Personal LinkedIn Brand,Business Networking & B2B Marketing,A well-optimized LinkedIn profile can be a beacon for opportunities and connections in the professional world.,"Review my 'Resume' and 'Resume Cover Letter' in @docs. Identify key achievements and strengths. Based on these, suggest a revised LinkedIn profile summary and headline. Additionally, recommend @youtube tutorials on personal branding specifically tailored for LinkedIn to boost my online presence.","@docs, @youtube"
Automated Daily Briefing,Productivity & Time-Saving,"This prompt serves as a daily briefing tool, providing a snapshot of current project status and pending tasks, helping you plan your day more effectively.",Check my @gmail email inbox and @drive for any updates or documents related to my current projects. Summarize the updates and list the pending action items for each project.,"@drive, @gmail"
Optimize Business Operations,Cost Savings,Understanding existing processes can unveil areas for cost-saving automation or optimization.,Summarize internal company SOPs and guidelines available in @docs. Highlight any processes that can be automated or streamlined to reduce operational costs.,@docs
Resume Enhancement,Increased Output & Efficiency,Ensuring your resume is current and aligned with industry expectations can be a crucial step in job hunting.,Compare the latest job descriptions and qualifications in my industry (from web sources or job boards) with my 'Resume' in @docs. Highlight any gaps or areas of improvement and suggest modifications to enhance its appeal.,@docs
Upsell Opportunities on YouTube,Lead Generation & Sales Improvement,Strategic upselling can significantly boost revenue without acquiring new customers.,"Using @youtube, research current market trends related to those products. Propose a list of complementary products or services we can introduce for upselling during peak seasons.",@youtube
Team Training Needs,Learning & Development,This prompt aims to improve team performance by addressing collective skill gaps.,Review @docs for any team meeting notes or project retrospectives that highlight team-wide skill deficiencies or areas for growth. Recommend team training programs or @youtube channels that can address these issues.,"@docs, @youtube"
Tax Deduction Identification,Cost Savings,Keeping track of expenses that can be used for tax deductions can result in significant cost savings during tax season.,"Check my @gmail for invoices, receipts, and expense reports related to work in the past year. Summarize them and flag items that could be potential tax deductions.",@gmail
Review Educational Expenses,Learning & Development,Keeping track of your investments in learning can help you better allocate resources in the future.,Summarize all mentions of educational or course-related expenses in my @gmail for the past year. Provide an analysis to determine if I am allocating resources effectively for my learning and development.,@gmail
Company Culture Learning,Learning & Development,Aligning training and development with company culture can have a synergistic effect on organizational growth.,"Review my @docs for any company values, mission statements, or culture guidelines. Suggest training programs or resources that align with fostering the desired company culture.",@docs
Daily Task Automation,Productivity & Time-Saving,Automation can be a game-changer in terms of time-saving and efficiency. Discover opportunities.,Review my 'To-Do List' in @docs. Identify repetitive tasks and suggest automation tools or software solutions that can streamline these processes.,@docs
Identify Industry Conferences for Learning,Learning & Development,"Conferences can be a great way to rapidly accelerate learning and networking, and this prompt helps you identify the most relevant ones.","Look through my @gmail for invites or mentions of upcoming industry conferences and workshops. Evaluate their potential for learning and development, and suggest a prioritized list for attendance.",@gmail
Identifying Industry Events for Networking,Business Networking & B2B Marketing,This prompt aims to help you proactively identify networking opportunities where you could forge valuable B2B relationships.,"Scan my @gmail for any mentions or invitations to industry conferences, webinars, or networking events in the next six months. Summarize the details and evaluate the potential benefits for B2B networking.",@gmail
Efficient Meeting Scheduling,Productivity & Time-Saving,"This prompt can streamline meeting scheduling, minimizing back-and-forth emails and saving time.",Scan my @gmail for pending meeting invitations and responses. Summarize the status of each and suggest time slots for unconfirmed meetings based on my free slots mentioned in @docs.,"@docs, @gmail"
Product/Service Feedback Loop,Lead Generation & Sales Improvement,Customer feedback is invaluable for improving your offering and generating more sales. This prompt compiles that data for actionable insights.,Check my @gmail for customer feedback or product reviews received in the last month. Summarize the positive and negative feedback and make recommendations for product or service improvement.,@gmail
Prioritize Customer Emails,Productivity & Time-Saving,"By prioritizing customer emails based on urgency and potential impact, this prompt helps improve customer relations while optimizing time spent on client management.",Check my @gmail for emails from customers or clients in the last week. Summarize them and prioritize based on the query's urgency and potential business impact.,@gmail
Partnership and Collaboration Opportunities,Lead Generation & Sales Improvement,Partnerships can dramatically expand your reach and generate leads; this prompt helps you identify and prioritize such opportunities.,Check my @gmail for any mentions of potential partnerships or collaborations in the last six months. Summarize the opportunities and assess the potential impact on sales and lead generation.,@gmail
Mapping Sales Prospects,Lead Generation & Sales Improvement,"Geographically targeted marketing can be highly effective, and this prompt helps lay the groundwork for such a strategy.",Scan my @gmail for conversations with potential clients in different geographical locations. Use @maps to determine the most densely populated areas of interest. Recommend targeting strategies based on geography.,"@gmail, @maps"
Social Media Planning & Optimization,Increased Output & Efficiency,Consistency and relevance in social media posting can significantly enhance brand engagement.,Review my 'Social Media Calendar' in @docs. Identify any gaps or days without posts. Suggest content ideas or topics based on current industry trends to keep the audience engaged.,@docs
Sales Process Streamlining,Increased Output & Efficiency,Understanding bottlenecks in the sales process can help you focus your improvement efforts where they will make the most difference.,Analyze my @gmail conversations related to closed sales deals. Identify the most time-consuming stages of the sales process and provide recommendations for streamlining.,@gmail
Blog Post Promotion Ideas,Increased Output & Efficiency,Strategic promotion can significantly increase blog post reach and engagement.,"Upon reviewing my 'Blog Post Draft' and 'Social Media Calendar' in @docs, suggest the best dates and platforms for promoting the blog post. Additionally, draft a few engaging social media captions to accompany the blog link.",@docs
Curate Educational Content,Learning & Development,This prompt helps individuals with learning and development needs by summarizing top educational content and recommending the most appropriate video to watch.,Search @youtube for tutorials on the latest project management software tools. Summarize the top 5 results and suggest which one would be the most beneficial for me to watch based on its content and duration.,@youtube
Most Efficient Business Travel Planning,Business Networking & B2B Marketing,Efficient travel planning can be a great asset in maintaining a wide network and can directly impact your bottom line.,"Based on the locations of my upcoming B2B meetings from @gmail, find the most efficient flight plans using @flights. Calculate potential cost and time savings for different scenarios.","@flights, @gmail"
Analyze Your To-Do List,Productivity & Time-Saving,This prompt aims to streamline your daily activities and prioritize tasks efficiently.,Analyze my 'To-Do List' in @docs. Rank the tasks based on urgency and importance. Suggest an optimized order for task completion to ensure maximum productivity.,@docs
Networking Skill Development,Business Networking & B2B Marketing,Improving your networking skills can open doors to new opportunities and contribute to business growth.,Find @youtube videos that offer advanced techniques in business networking and relationship building. Summarize key points and suggest ways to incorporate them into my B2B strategies.,@youtube
